fecha,producto,categoria,precio_venta,costo,cantidad,ingreso,ganancia
2026-01-05,Don Julio Reposado,Tequila,850,650,2,1700,400
2026-01-05,Bacardi Blanco,Ron,320,230,3,960,270
2026-01-06,Johnnie Walker Black,Whisky,750,570,1,750,180
2026-01-06,Jose Cuervo Especial,Tequila,350,250,4,1400,400
2026-01-07,Absolut Vodka,Vodka,390,280,2,780,220
2026-01-07,Jack Daniels,Whisky,680,510,1,680,170
2026-01-08,Havana Club 7,Ron,450,330,2,900,240
2026-01-08,Don Julio Blanco,Tequila,780,590,3,2340,570
2026-01-09,Tanqueray,Gin,520,390,1,520,130
2026-01-09,Baileys,Licor,420,310,2,840,220
